epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,343.663,0.59704,0.755,1,0.48261,0.000541775,0.000541775,0.000541775
2,681.76,0.50332,0.64,1,0.69064,0.00106123,0.00106123,0.00106123
3,1022.62,0.49984,0.765,1,0.5449,0.001544,0.001544,0.001544
4,1354.49,0.49496,0.72,1,0.66432,0.00150197,0.00150197,0.00150197
5,1691.47,0.48531,0.76,1,0.51408,0.00144696,0.00144696,0.00144696
6,2025.76,0.4612,0.75,1,0.50248,0.00139195,0.00139195,0.00139195
7,2364.43,0.45033,0.77,1,0.49041,0.00133693,0.00133693,0.00133693
8,2748.19,0.43754,0.775,1,0.53388,0.00128192,0.00128192,0.00128192
9,3223.19,0.41138,0.81,1,0.46477,0.00122691,0.00122691,0.00122691
10,3703.48,0.38857,0.755,1,0.63458,0.0011719,0.0011719,0.0011719
11,4178.19,0.38587,0.775,1,0.69518,0.00111689,0.00111689,0.00111689
12,4655.33,0.39414,0.815,1,0.45184,0.00106188,0.00106188,0.00106188
13,5125.16,0.36431,0.77,1,0.47702,0.00100687,0.00100687,0.00100687
14,5594.96,0.33832,0.83,1,0.39562,0.000951857,0.000951857,0.000951857
15,6069.07,0.33674,0.8,1,0.52708,0.000896846,0.000896846,0.000896846
16,6500.65,0.30697,0.825,1,0.4225,0.000841835,0.000841835,0.000841835
17,6967.18,0.30155,0.815,1,0.52146,0.000786824,0.000786824,0.000786824
18,7461.41,0.28782,0.815,1,0.44742,0.000731813,0.000731813,0.000731813
19,7861.33,0.3018,0.78,1,0.62551,0.000676802,0.000676802,0.000676802
20,8235.96,0.26213,0.825,1,0.39679,0.000621791,0.000621791,0.000621791
21,8615.02,0.2769,0.835,1,0.39235,0.00056678,0.00056678,0.00056678
22,9040.91,0.25563,0.78,1,0.48216,0.000511769,0.000511769,0.000511769
23,9500.05,0.23151,0.85,1,0.47144,0.000456758,0.000456758,0.000456758
24,10526.9,0.22286,0.825,1,0.41702,0.000401747,0.000401747,0.000401747
25,14308.6,0.19447,0.85,1,0.48727,0.000346736,0.000346736,0.000346736
26,18271.1,0.18065,0.835,1,0.46681,0.000291725,0.000291725,0.000291725
27,29474.2,0.18471,0.835,1,0.51701,0.000236714,0.000236714,0.000236714
28,33482.4,0.19185,0.855,1,0.40831,0.000181703,0.000181703,0.000181703
29,38848.4,0.17996,0.865,1,0.40388,0.000126692,0.000126692,0.000126692
30,39343.7,0.15736,0.855,1,0.43587,7.1681e-05,7.1681e-05,7.1681e-05
